revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:01:54,4.367680,52.018286,4.330328,52.007393,A=4,300,600,44877395,4798458926,A,
2017-10-10 00:03:28,4.330242,52.008711,4.344575,51.986136,A=2,300,600,1805100645,1402771643,A,
2017-10-10 00:06:46,4.329831,52.009087,4.367079,51.985342,A=4,300,600,1805100649,2381861262,A,
2017-10-10 00:00:02,4.331906,52.011413,4.381164,52.006564,A=2,300,600,1436427192,1410536974,A,
2017-10-10 00:02:47,4.354716,52.024275,4.337383,51.981212,A=3,300,600,390922808,1774593299,B,
2017-10-10 00:02:18,4.347760,52.000461,4.345945,52.005085,A=2,300,600,1413910857,44820007,B,
2017-10-10 00:07:29,4.370786,52.010321,4.350437,52.015316,A=4,300,600,44844890,4846026440,B,
2017-10-10 00:04:36,4.368650,52.014463,4.337577,52.010195,A=4,300,600,44862225,44844496,B,
2017-10-10 00:06:09,4.354481,51.992243,4.366897,51.982154,A=4,300,600,44763561,1570983034,B,
2017-10-10 00:03:31,4.373286,52.010006,4.356484,52.015935,A=4,300,600,44843629,44867889,B,
2017-10-10 00:03:44,4.354958,52.004526,4.362578,52.019122,A=1,300,600,3534010196,44880453,B,
2017-10-10 00:00:46,4.351241,52.011366,4.370758,52.012270,A=4,300,600,44849727,44853267,B,
2017-10-10 00:00:23,4.345798,52.003069,4.344633,52.013621,A=1,300,600,44812020,1513191908,B,
2017-10-10 00:07:03,4.362043,52.003304,4.371615,52.017315,A=2,300,600,44812870,313902614,B,
2017-10-10 00:00:27,4.351270,52.006748,4.345149,51.997989,A=5,300,600,44828699,1584502763,B,
2017-10-10 00:03:52,4.364142,51.985924,4.357960,52.005251,A=2,300,600,44734726,5319999941,B,
2017-10-10 00:07:11,4.376722,51.999758,4.360771,51.981871,A=4,300,600,44797365,44714873,C,
2017-10-10 00:09:24,4.345817,52.003183,4.351745,52.016792,A=3,300,600,44812289,3905428979,C,
2017-10-10 00:08:30,4.334110,52.015177,4.333726,52.011820,A=2,300,600,44864976,1435362481,C,
2017-10-10 00:04:37,4.340807,51.999470,4.343150,51.982573,A=1,300,600,1552650442,446772563,C,
