revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:07,4.368101,52.011024,4.333486,52.012040,A=2,300,600,1436427187,1435362485,C,
2017-10-10 00:15,4.355625,52.023556,4.364737,51.989133,A=4,300,600,44899985,1402734794,C,
2017-10-10 00:24,4.344911,51.998474,4.354232,52.024019,A=4,300,600,313396780,44902395,C,
2017-10-10 00:31,4.370087,52.015772,4.355781,52.016057,A=1,300,600,44867552,1530303740,C,
2017-10-10 00:39,4.357907,52.016355,4.341290,51.995908,A=5,180,300,44869806,1470642651,B,
2017-10-10 00:45,4.333445,52.014096,4.375891,52.008068,A=2,180,300,1435362529,44835279,B,
2017-10-10 00:53,4.350886,52.007089,4.344704,51.996471,A=5,180,300,44830128,3452839333,B,
2017-10-10 01:01,4.356223,52.025555,4.338324,52.007425,A=4,180,300,44909275,559613190,B,
2017-10-10 01:09,4.359421,52.001190,4.376506,52.006031,A=4,180,300,527060635,44824666,B,
2017-10-10 01:18,4.359622,52.013548,4.336861,51.989139,A=3,180,300,44858835,1584013869,B,
2017-10-10 01:27,4.366267,51.986333,4.357056,51.999963,A=4,180,300,1402734511,44798266,B,
2017-10-10 01:33,4.379882,52.004135,4.379173,52.005849,A=4,180,300,44814944,44823653,B,
2017-10-10 01:39,4.384010,52.006788,4.376971,51.999368,A=2,180,300,310785563,44796086,B,
2017-10-10 01:44,4.341104,51.982942,4.354794,52.019894,A=5,180,300,1519889961,44883810,B,
2017-10-10 01:53,4.329206,52.006798,4.368660,52.010513,A=2,180,300,2673589221,312033061,B,
2017-10-10 01:59,4.329230,52.012124,4.355705,52.025314,A=5,180,300,4955735207,2162556055,B,
2017-10-10 02:09,4.348107,51.996317,4.351949,51.998865,A=3,120,0,1558185453,1474883281,A,
2017-10-10 02:18,4.352055,51.998122,4.356713,51.997709,A=4,120,0,2595466387,44789407,A,
2017-10-10 02:24,4.358439,51.983083,4.359962,51.987539,A=1,120,0,44720720,1571087335,A,
2017-10-10 02:31,4.335069,51.986799,4.339488,51.988297,A=4,120,0,1608998198,1608998283,A,
