revealing,pickup_x,pickup_y,dropoff_x,dropoff_y,order,pickup_lateness,delivery_lateness,pk_node_id,dl_node_id,sl_class,id
2017-10-10 00:09,4.356863,52.003567,4.357116,52.020162,A=1,300,600,4053473202,44884493,C,
2017-10-10 00:17,4.344394,52.007107,4.371036,51.991966,A=3,300,600,265090310,1402734970,C,
2017-10-10 00:27,4.380750,51.996790,4.360617,52.005770,A=2,300,600,5008459650,4244384215,C,
2017-10-10 00:34,4.354695,52.009166,4.366267,52.017681,A=2,300,600,4937365113,44875062,C,
2017-10-10 00:43,4.366535,52.006696,4.347699,52.000712,A=4,300,600,4239849802,1413910861,C,
2017-10-10 00:49,4.355615,52.007869,4.368390,52.006476,A=4,300,600,4261101335,2587864260,C,
2017-10-10 00:57,4.350599,52.015328,4.354882,52.010016,A=4,300,600,4801236440,4261101624,C,
2017-10-10 01:04,4.355683,52.007900,4.360973,52.019855,A=4,300,600,4301397897,2860384766,C,
2017-10-10 01:14,4.338551,52.013430,4.366988,51.996430,A=1,300,600,1413911073,44782877,C,
2017-10-10 01:20,4.344052,52.007195,4.347613,52.006860,A=4,300,600,265090298,44829650,C,
2017-10-10 01:27,4.356863,52.003567,4.333726,52.011820,A=4,300,600,4053473202,1435362481,C,
2017-10-10 01:34,4.354695,52.009166,4.375145,52.004717,A=5,300,600,4937365113,617811256,C,
2017-10-10 01:39,4.350484,52.015408,4.347900,52.015500,A=2,300,600,4846026470,44866501,C,
2017-10-10 01:49,4.354799,52.008849,4.376163,52.009338,A=4,300,600,4261101419,44840852,C,
2017-10-10 01:57,4.374102,52.010824,4.356863,52.003567,A=5,300,600,1402644594,4053473202,C,
2017-10-10 02:02,4.344052,52.007195,4.344690,52.007481,A=2,300,600,265090298,1435362376,C,
2017-10-10 02:07,4.352828,52.009343,4.354503,52.010109,A=2,300,600,44840841,44844070,C,
2017-10-10 02:13,4.348477,52.000844,4.375145,52.004717,A=1,300,600,1413910863,617811256,C,
2017-10-10 02:21,4.355683,52.007900,4.347613,52.006860,A=2,300,600,4301397897,44829650,C,
2017-10-10 02:30,4.355615,52.007869,4.372878,52.010915,A=4,300,600,4261101335,44847501,C,
2017-10-10 02:39,4.375228,52.010931,4.379280,52.012641,A=3,300,600,610474647,44855665,B,
2017-10-10 02:47,4.387854,51.996828,4.356371,52.019847,A=3,300,600,1402668039,44883814,B,
2017-10-10 02:54,4.344052,52.007195,4.371216,52.006910,A=5,300,600,265090298,629532237,B,
2017-10-10 03:00,4.370991,51.992049,4.355615,52.007869,A=4,300,600,1402734973,4261101335,B,
2017-10-10 03:07,4.380750,51.996790,4.354794,52.019894,A=2,300,600,5008459650,44883810,B,
2017-10-10 03:16,4.354712,52.010197,4.338551,52.013430,A=5,300,600,4862057242,1413911073,B,
2017-10-10 03:23,4.376244,52.010928,4.338551,52.013430,A=1,300,600,1402644600,1413911073,B,
2017-10-10 03:30,4.348477,52.000844,4.375469,52.011235,A=3,300,600,1413910863,618269390,B,
2017-10-10 03:37,4.386232,52.002600,4.373692,52.008298,A=2,300,600,264985176,44836395,B,
2017-10-10 03:47,4.379079,51.994021,4.350428,52.020251,A=2,300,600,1402734993,321677249,B,
2017-10-10 03:52,4.354712,52.010197,4.331619,52.014064,A=5,300,600,4862057242,44861083,B,
2017-10-10 04:01,4.379079,51.994021,4.328477,52.009520,A=3,300,600,1402734993,970525366,B,
2017-10-10 04:08,4.348477,52.000844,4.365040,52.015360,A=5,300,600,1413910863,44865758,B,
2017-10-10 04:17,4.355683,52.007900,4.344425,51.987411,A=4,300,600,4301397897,1510592095,B,
2017-10-10 04:23,4.344394,52.007107,4.374197,52.006188,A=4,300,600,265090310,4486831034,B,
2017-10-10 04:30,4.344052,52.007195,4.359300,52.019500,A=1,300,600,265090298,44882305,B,
2017-10-10 04:37,4.354712,52.010197,4.365555,52.010581,A=2,300,600,4862057242,44846112,B,
2017-10-10 04:43,4.352504,52.021496,4.378059,52.006423,A=2,300,600,2116559760,44827071,B,
2017-10-10 04:50,4.366535,52.006696,4.362873,52.007080,A=5,300,600,4239849802,4239889943,B,
2017-10-10 04:58,4.375469,52.011235,4.382257,51.996735,A=4,300,600,618269390,44785116,B,
2017-10-10 05:07,4.354778,52.009167,4.344439,51.985764,A=1,300,600,4261101530,1402771629,B,
2017-10-10 05:13,4.338551,52.013430,4.352795,52.022319,A=1,300,600,1413911073,44894214,B,
2017-10-10 05:21,4.387854,51.996828,4.361851,52.019222,A=2,300,600,1402668039,3669180601,B,
2017-10-10 05:29,4.354884,52.008871,4.375466,51.996854,A=2,300,600,4261101421,359175432,B,
2017-10-10 05:35,4.355683,52.007900,4.331244,52.010493,A=2,300,600,4301397897,44845256,B,
2017-10-10 05:43,4.374102,52.010824,4.360596,51.981054,A=1,300,600,1402644594,271397035,B,
2017-10-10 05:51,4.375228,52.010931,4.363076,52.009530,A=2,300,600,610474647,44841575,B,
2017-10-10 06:00,4.356863,52.003567,4.340970,51.987324,A=1,300,600,4053473202,1608998231,B,
2017-10-10 06:08,4.354695,52.009166,4.337153,51.988515,A=4,300,600,4937365113,1608998306,B,
2017-10-10 06:15,4.348477,52.000844,4.351263,52.008642,A=5,300,600,1413910863,44837765,B,
2017-10-10 06:21,4.356189,52.017381,4.379836,51.989216,A=5,300,600,44873991,3690450806,B,
2017-10-10 06:27,4.332126,52.008124,4.348891,52.012369,A=5,300,600,44835248,44853765,B,
2017-10-10 06:33,4.352721,51.985056,4.350783,52.018636,A=3,300,600,1583992771,1569651822,B,
2017-10-10 06:41,4.352009,52.003191,4.341326,51.983429,A=1,300,600,2321923795,1518087814,B,
2017-10-10 06:49,4.357441,52.013478,4.340007,52.001629,A=1,300,600,44858832,1552651470,B,
2017-10-10 06:55,4.377136,52.003411,4.358636,51.994658,A=4,300,600,44812880,44774830,B,
2017-10-10 07:00,4.350137,52.004836,4.350917,52.010332,A=2,300,600,44818486,44844876,B,
2017-10-10 07:07,4.341065,52.002639,4.366803,52.002015,A=1,300,600,565046993,2572707866,B,
2017-10-10 07:14,4.335599,51.988565,4.353264,52.001356,A=2,300,600,1608998311,1576641163,B,
2017-10-10 07:19,4.366670,51.982119,4.352581,52.007563,A=2,300,600,1570983022,44832713,B,
2017-10-10 07:27,4.351053,52.010224,4.360105,52.008202,A=1,300,600,44844498,44835816,B,
2017-10-10 07:34,4.366690,52.006315,4.353197,52.021765,A=2,300,600,1330102325,3669218097,B,
2017-10-10 07:40,4.353111,51.993002,4.345577,51.981859,A=2,300,600,44767578,1830058797,B,
2017-10-10 07:49,4.356305,51.984462,4.368051,51.991041,A=5,300,600,1668136745,1402734949,B,
2017-10-10 07:59,4.349410,52.010387,4.361214,51.981940,A=1,300,600,44845271,1831506883,B,
2017-10-10 08:06,4.362252,52.012583,4.351938,52.016533,A=5,300,600,1587205544,44870886,B,
2017-10-10 08:15,4.364852,52.011736,4.347096,51.982966,A=3,300,600,1530303649,1566353972,B,
2017-10-10 08:24,4.359195,52.001690,4.358421,51.985248,A=3,300,600,527060508,44731574,B,
2017-10-10 08:32,4.353436,52.001969,4.344113,51.984846,A=3,300,600,4349049062,4176994573,B,
2017-10-10 08:39,4.378196,52.005891,4.345149,51.997989,A=2,300,600,44824163,1584502763,B,
2017-10-10 08:45,4.360699,51.987791,4.332291,52.009921,A=3,300,600,1571087436,44843105,B,
2017-10-10 08:50,4.378145,52.006967,4.352265,52.017849,A=5,300,600,44829670,2323108543,B,
2017-10-10 08:57,4.342351,51.979179,4.338005,51.993061,A=5,300,600,1448535730,44768025,B,
2017-10-10 09:06,4.363407,52.004801,4.352414,52.021833,A=3,300,600,582004773,44891904,B,
2017-10-10 09:11,4.327579,52.011378,4.331619,52.014064,A=1,300,600,1448391073,44861083,B,
2017-10-10 09:21,4.340459,52.011661,4.338150,52.009619,A=2,300,600,44850689,44841998,B,
2017-10-10 09:29,4.339900,52.006752,4.330733,52.010380,A=1,300,600,568720515,1803176440,B,
2017-10-10 09:36,4.339272,51.996773,4.364941,51.985169,A=2,300,600,1322507105,44731083,B,
2017-10-10 09:44,4.344633,52.013621,4.334205,52.009743,A=3,300,600,1513191908,366654673,B,
2017-10-10 09:52,4.356211,51.985965,4.353300,52.007399,A=1,300,600,3709850020,44831875,B,
2017-10-10 09:58,4.340988,51.988844,4.328292,52.006473,A=3,300,600,1608998330,2673589218,A,
2017-10-10 10:04,4.357579,52.022791,4.382955,52.004323,A=3,300,600,365993500,44816479,A,
2017-10-10 10:12,4.355900,52.025850,4.366994,52.011047,A=1,300,600,44910798,1530303614,A,
2017-10-10 10:21,4.340883,51.989070,4.348107,51.996317,A=2,300,600,1608998348,1558185453,A,
2017-10-10 10:26,4.369324,52.011362,4.371702,52.008695,A=2,300,600,1413911066,44838049,A,
2017-10-10 10:36,4.353160,52.015098,4.361707,52.016501,A=2,300,600,44864984,44870888,A,
2017-10-10 10:44,4.353158,52.017437,4.372926,52.013432,A=1,300,600,2374392592,44858431,A,
2017-10-10 10:51,4.372326,51.999020,4.362865,52.013924,A=2,300,600,2177111543,479575357,A,
2017-10-10 10:57,4.327621,52.009128,4.333444,52.008748,A=1,300,600,1460714944,336522727,A,
2017-10-10 11:05,4.352861,52.023409,4.366812,52.006690,A=4,300,600,44899446,311874440,A,
2017-10-10 11:13,4.344326,51.994290,4.361959,51.985887,A=5,300,600,1679761156,44734216,A,
2017-10-10 11:21,4.361355,51.985603,4.361674,51.982013,A=4,300,600,44732927,44715431,A,
2017-10-10 11:29,4.347854,52.005724,4.348797,51.984413,A=2,300,600,44823290,1830076522,A,
2017-10-10 11:35,4.358295,52.026591,4.373826,52.014745,A=2,300,600,526397740,1402598684,A,
2017-10-10 11:44,4.347546,52.009541,4.341358,52.014100,A=1,300,600,44841563,44861085,A,
2017-10-10 11:54,4.361290,52.017720,4.363055,52.010157,A=3,300,600,44875434,44844082,A,
2017-10-10 12:02,4.339560,52.006314,4.336147,52.011917,A=2,300,600,1435362342,44852049,A,
2017-10-10 12:11,4.339296,51.978706,4.327756,52.010884,A=5,300,600,1448535727,2381851920,A,
2017-10-10 12:20,4.361465,51.981978,4.357618,51.990691,A=3,300,600,44715429,1421472376,A,
2017-10-10 12:28,4.381596,52.006521,4.366210,51.998985,A=3,300,600,1410536956,44794038,A,
